,geocoded_address,lat,lon,titles
2,"Acapulco, Guerrero, Mexico",16.8680495,-99.8940182,The Samurai
3,"Adelaide, South Australia, Australia",-34.9281805,138.5999312,Slow Man
4,Afghanistan,33.7680065,66.2385139,The Afghan Campaign
5,"Alaska, United States",64.4975098,-165.4061701,Alaska
6,"Alexandria, Alexandria, Egypt",31.1991806,29.8951716,Hypatia
7,"Algeciras, Cádiz, Andalusia, Spain",36.1311725,-5.4473991,Night Boat to Tangier
8,"Amsterdam, North Holland, Netherlands",52.3730796,4.8924534,The Miniaturist<br>The Coffee Trader
9,"Andersonville, Georgia, United States",32.1959947,-84.1399085,Andersonville
10,"Andhra Pradesh, India",18.0202262,83.5482365,Veyi Padagalu
11,"Annapolis, Maryland, United States",38.9786401,-76.492786,Richard Carvel
12,Argentina,-34.9964963,-64.9672817,"Life in the Argentine Republic in the Days of the Tyrants; or, Civilization and Barbarism<br>Santa Evita"
13,"Athens, Attica, Greece",37.9755648,23.7348324,The Athenian Murders<br>The Last of the Wine
14,Australia,-29.0328038,167.9483137,Morgan's Run
15,Australia,-24.7761086,134.755,Bring Larks and Heroes<br>Dirt Music<br>Theft: A Love Story<br>Illywhacker<br>The Lost Dog<br>The Vivisector<br>The Chant of Jimmie Blacksmith<br>The Death of Crispin Dingle<br>Sixty Lights
16,"Autonomous Region of Bougainville, Papua New Guinea",-6.1441283,155.20593392291414,Mister Pip
17,"Auvergne-Rhône-Alpes, France",46.361350200000004,6.393247037248148,Hotel du Lac
18,"Bahia, Brazil",-9.8948692,-39.0266244,The War of the End of the World<br>Os Sertões
19,"Baltimore, Maryland, United States",39.2908816,-76.610759,A Spool of Blue Thread
20,Bangladesh,24.4769288,90.2934413,The Black Coat
21,"Barcelona, Barcelona, Catalonia, Spain",41.36259895,2.1596649904253766,The English Patient
22,"Bavaria, Germany",48.428501,12.056571,Come Rack! Come Rope!
23,"Beijing, Beijing, China",39.9057136,116.3912972,Empress Orchid
24,"Beijing, China",40.190632,116.412144,Empress
25,Belgium,51.096246199999996,4.178629103169916,A Long Long Way
26,"Berlin, Germany",52.5108638,13.3989421,The Reader<br>Half-Blood Blues
27,"Bhopal, Madhya Pradesh, India",23.2584857,77.401989,Animal's People
28,"Birmingham, England, United Kingdom",52.4796992,-1.9026911,Arthur & George<br>What Was Lost<br>The Rotters' Club
29,"Boston, Massachusetts, United States",42.3554334,-71.060511,Johnny Tremain
30,"Braddock, North Dakota, United States",46.5644311,-100.0909421,Out of This Furnace
31,"Bradford, England, United Kingdom",53.7944229,-1.7519186,If Nobody Speaks of Remarkable Things
32,Brazil,-10.3333333,-53.2,As minas de prata<br>Iracema
33,"Brno, Southeast, Czechia",49.1922443,16.6113382,The Glass Room
34,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",-34.6073387,-58.4432852,On Heroes and Tombs
35,"Cairo, Cairo, Egypt",30.0443879,31.2357257,Moon Tiger
36,"California, United States",36.7014631,-118.755997,Ragtime
37,Canada,61.0666922,-107.991707,St. Urbain's Horseman<br>The Stone Carvers<br>The Blind Assassin<br>Jalna<br>Solomon Gursky Was Here<br>Unless<br>The Orenda<br>The Colony of Unrequited Dreams<br>The Testaments<br>What's Bred in the Bone
38,"Cape Town, Western Cape, South Africa",-33.928992,18.417396,Life & Times of Michael K<br>Disgrace
39,"Capital City of Prague, Prague, Czechia",50.0596288,14.446459273258009,Witiko
40,"Cardiff, Wales, United Kingdom",51.4816546,-3.1791934,The Fortune Men
41,"Castile-La Mancha, Spain",39.08328815,-3.327201452922372,Don Quixote of La Mancha
42,"Chicago, Illinois, United States",41.8755616,-87.6244212,The City Beautiful
43,China,35.000074,104.999927,The Last Empress<br>The Dream of the Red Chamber<br>The Deer and the Cauldron<br>Shadow Sisters<br>Romance of the Three Kingdoms<br>Imperial Woman
44,"City of Edinburgh, Scotland, United Kingdom",55.9533456,-3.1883749,The Heart of Mid-Lothian
45,"City of Syracuse, New York, United States",43.0481221,-76.1474244,The Mask of Apollo
46,"City of Westminster, England, United Kingdom",51.5097922,-0.13442883634595293,Breakfast on Pluto
47,"Colombo, Western Province, Sri Lanka",6.9388614,79.8542005,A Passage North
48,"Copenhagen, Capital Region of Denmark, Denmark",55.6867243,12.5700724,Number the Stars
49,"Cork, Ireland",51.897077,-8.4654674,The Story of Lucy Gault
50,"Cádiz, Andalusia, Spain",36.0126747,-5.6035962,El Sol de Breda
51,"Dar es-Salaam, Tanzania",-6.8160837,39.2803583,An Ice-Cream War
52,"Delft, South Holland, Netherlands",52.0114017,4.35839,Girl with a Pearl Earring
53,"Delhi, India",28.6273928,77.1716954,Clear Light of Day
54,"Derbyshire Dales, England, United Kingdom",53.2837249,-1.6725141,Year of Wonders
55,"Derry/Londonderry, Northern Ireland, United Kingdom",54.9978678,-7.3213056,Reading in the Dark
56,"Detroit, Michigan, United States",42.3315509,-83.0466403,Middlesex
57,"Dijon, Bourgogne – Franche-Comté, France",47.3138746,5.0488196,Anthills of the Savannah
58,"Dublin, Ireland",53.3493795,-6.2605593,Mrs. Eckdorf in O'Neill's Hotel<br>My Left Foot<br>Skippy Dies<br>A Star Called Henry<br>Prophet Song<br>The Bee Sting<br>The Blackwater Lightship<br>Dublin: Foundation
59,"Durango, Durango, Mexico",24.0769214,-104.5843863,Dark Cloud
60,"Durango, Mexico",24.8007984,-104.4644063,Mexico
61,Egypt,26.2540493,29.2675469,Pharaoh<br>The Memoirs of Cleopatra<br>River God
62,"Emilia-Romagna, Italy",44.766764249999994,11.827938995640167,How to Be Both
63,"England, United Kingdom",50.1552197,-5.0688262,The Bolitho Novels
64,"England, United Kingdom",50.79683685,-2.34473226124306,On Chesil Beach
65,"England, United Kingdom",51.148555,0.8722566,Darkmans
66,"England, United Kingdom",51.1595171,0.9506735,The Orchard on Fire
67,"England, United Kingdom",51.186833899999996,-2.96842123193061,Micah Clarke
68,"England, United Kingdom",51.2356068,-0.5732063,Kydd
69,"England, United Kingdom",51.2929004,1.3318387681341721,The Silver Branch
70,"England, United Kingdom",51.3199525,-2.9162048,Alias Grace
71,"England, United Kingdom",51.4644439,-0.6520573027777781,A Tale of Two Cities
72,"England, United Kingdom",51.4837886,-0.6040418665032687,The Bottle Factory Outing
